id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
149,Completed,Male,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,90-119k,partially paid,less 2weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
150,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,full paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,No changed companies,Fully in office
151,Completed,Male,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,160-plus,full paid,less 2weeks,US,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully remote
152,Completed,Female,Manager,kids in home Yes,2 5 years,35-44yo,Employed full time,120-159k,full paid,13 16weeks,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
153,Completed,Female,pursing work,kids in home Yes,less 2,35-44yo,Employed full time,90-119k,full paid,9 12weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
154,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,partially paid,9 12weeks,US,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
155,Completed,Female,data worker,kids in home Yes,less 2,25-34yo,Employed full time,30-59k,not paid,no leave,US,Yes wish longer,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
156,Completed,Female,pursing work,kids in home Yes,6 10 years,35-44yo,Student,less30k,partially paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Other workplace arrangement
157,Completed,Female,pursing work,kids in home Yes,not in the field,prefer-no-answer,Employed full time,30-59k,not paid,6 month plus,US,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
158,Completed,Male,data worker,kids in home Yes,16 years more,25-34yo,Employed full time,160-plus,not paid,less 2weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
159,Completed,Female,not in field,kids in home Yes,6 10 years,45-54yo,Self employed,160-plus,full paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully remote
160,Completed,Female,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,30-59k,full paid,6 month plus,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
